,webUrl,website,review_Tags,address,description,name,numberOfReviews,tour_Offers,rankingString,rankingDenominator,rating,rawRanking,subtype/0,image
960,https://www.tripadvisor.com/Attraction_Review-g189400-d10501271-Reviews-Istion_Yachting-Athens_Attica.html,http://www.istion.com,"bareboat charter, saronic islands, lagoon catamaran, alimos marina, technical support, nice boat, sailing holiday, great sailing, aegean sea, greek islands, professional service, skipper, boats, crew, skiing, bays, lefkas, greece, sailors, maria, ports, company, itinerary, george, nan, nan, nan, nan, nan, nan","Leof. Poseidonos 1 Alimos Marina, Athens 174 55 Greece","Established in 1992, Istion Yachting is proud to have one of the largest fleets of sailing yachts, catamarans and motor yachts in Greece. Our main base is in Alimos Marina in Athens with further bases in Volos, Preveza, Skiathos, Mykonos, Paros, Lavrion, Kos, Lefkas, Rhodes & Corfu. We are happy to provide our customers with a range of charter options including bareboat and skippered sailing holidays and a wide selection of day cruises.",Istion Yachting,133,"nan, nan, nan, nan, nan",#22 of 191 Boat Tours & Water Sports in Athens,191,4.5,3.643312454,Boat Tours,https://media-cdn.tripadvisor.com/media/photo-m/1280/21/fd/58/38/lagoon-sixty-5-daiquiri.jpg
961,https://www.tripadvisor.com/Attraction_Review-g189400-d6487195-Reviews-Travel_Zone-Athens_Attica.html,http://www.travel-zone-greece.com/,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","50 Pandrosou Str, Athens 17563 Greece","Travel Zone is well established DMC for Greece since 2000. Trusted by its present customers, recommended by those from the past,Travel Zone is an innovative and reliable approach to travel in Greece. If you want to discover the history, the colours and the rich cultural heritage of Greece Travel Zone will find high-qualitative tour guides and an expert staff at your service.",Travel Zone,266,"nan, nan, nan, nan, nan","#115 of 1,148 Tours in Athens",1148,5,4.32104826,Sightseeing Tours,https://media-cdn.tripadvisor.com/media/photo-m/1280/1f/4b/51/46/travel-zone.jpg
962,https://www.tripadvisor.com/Attraction_Review-g189400-d17310938-Reviews-Grafitiyul-Athens_Attica.html,https://en.grafitiyul.co.il/collections/athens-tours,"graffiti tour, street art, great tour, discover athens, interesting stories, food tour, highly recommend this tour, guided tour, psiri, katarina, artists, knowledge, instructor, perspective, politics, highlights, greece, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",Athens Greece,,Grafitiyul,83,"Private Graffiti Self-Guided Tour in Athens , nan, nan, nan, nan",#14 of 265 Food & Drink in Athens,265,5,4.412978649,"Literary, Art & Music Tours",https://media-cdn.tripadvisor.com/media/photo-m/1280/28/cd/8f/66/grafitiyul.jpg
963,https://www.tripadvisor.com/Attraction_Review-g189400-d7044985-Reviews-Greca-Athens_Attica.html,https://www.greca.co/,"ferry ride, greece trip, greek islands, medusa, aegean, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",Athens 17676 Greece,"Greca is an Online Travel Agency for and by travelers and our mission is to help you design and travel in your own way and style. Why greca? Through technology, personal service, and ambitious planning, Greca comes to unroot the bad habits of the tourism industry, change them and create greater opportunities for the traveler of the 21st century: * We are travelers, just like you! * No pressure. When you are ready, we will be! * Technology to add more and better value to your trip. * Complex products, easy to book, no buts! * Crystal-clear services and inclusions, no hidden costs! * It's your money. We compress the cost to the last penny and we never round up! * Flexible in payments, conditions, inclusions, and more. We listen to you! * 24-hour emergency center. We take care of you 365 days.",Greca,897,"Half Day Sunset Sailboat tour (afternoon), Visit to Delos from Mykonos Half Day, Athens walking tour, Sailboat ride through the Caldera (In the morning) Half Day, nan",#26 of 191 Boat Tours & Water Sports in Athens,191,4,3.571146488,Multi-day Tours,https://media-cdn.tripadvisor.com/media/photo-o/06/81/de/b6/greca-travel-e-services.jpg
964,https://www.tripadvisor.com/Attraction_Review-g189400-d17720052-Reviews-Drastirioi-Athens_Attica.html,https://drastirioi.wixsite.com/athens-experiences,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Omirou 27, Athens 17236 Greece","Our company established for athletic purposes. Our goal is to improve education, culture, sports, ecoprotection and eco-development infrastructures throughout Greece. We aim to protect the mountain environment and at the same time to raise awareness for a healthier way of living.",Drastirioi,155,"A Unique & Interactive Greek Warrior Experience, Athens Highlights Trail Urban Run, nan, nan, nan",#5 of 141 Classes & Workshops in Athens,141,5,4.387135506,Canyoning & Rappelling Tours,https://media-cdn.tripadvisor.com/media/photo-m/1280/1d/0a/c5/f4/caption.jpg
965,https://www.tripadvisor.com/Attraction_Review-g189400-d17478411-Reviews-Athens_Day_Cruise-Athens_Attica.html,https://www.athensdaycruise.gr/,"hydra, ship, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Syggrou Ave. 155, Athens 17121 Greece","Athens Day Cruise step up your holidays in Athens with our one day cruise to the Saronic islands of Aegina, Poros and Hydra! Experience greek history, tradition and culture in a one day cruise experience!",Athens Day Cruise,105,"nan, nan, nan, nan, nan",#10 of 141 Classes & Workshops in Athens,141,4.5,3.759346724,Cultural Tours,https://media-cdn.tripadvisor.com/media/photo-m/1280/17/98/59/a1/caption.jpg
966,https://www.tripadvisor.com/Attraction_Review-g189400-d4915793-Reviews-Scooterise-Athens_Attica.html,http://www.scooterise.com,"highlight of our trip, athens tour, great guide, fun, trike, acropolis, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","18 Chatzichristou street One minute walking distance from Acropolis Metro Station & Acropolis Museum, Athens 117 42 Greece","Scooterise is a dynamic tour company which specializes in the creation and implementation of fun and exciting tour experiences on electric Trikkes. In addition, Scooterise also focus on team building activities and event creation tailor-made to the client’s desires. Our team of travel designers continuously innovate by being unconventional, leading to extraordinary event creation and a lifetime experience to be remembered. Our company invests in sustainable / eco friendly vehicles, such as Trikke Electric Vehicles offering fun and exciting tour experiences.",Scooterise,337,"Electric Trikke Bike Athens Complete Tour , Athens Riviera Small Group Tour by TRIKKE, Acropolis Half-day Walking and Trikke Tour, Athens Food Safari Tour on Trikke, Athens Full Day Trikke, Acropolis and Museum Walking Tour","#125 of 1,148 Tours in Athens",1148,5,4.286068439,Sightseeing Tours,https://media-cdn.tripadvisor.com/media/photo-o/04/97/4a/32/scooterise-trikke-tours.jpg
973,https://www.tripadvisor.com/Attraction_Review-g189400-d23421842-Reviews-Telia_Tours-Athens_Attica.html,http://www.book-excursion.com,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Kremasti, Athens 85104 Greece",We specialize in sightseeing tours for travellers on their own and shore excursions for cruise passengers.,Telia Tours,134,"Best of Rhodes Tour including Lindos and Medieval City , Full-Day Rhodes Island Tour with Wine Tasting Experience, Rhodes Wine & Food Tour: 10 Meal Course Lunch, Wine Tasting, Cooking Class , Comprehensive Shore Excursion - Beauties & Wines of Rhodes, Food & Wine Tour: 11-Course Lunch, Wine Tasting & Cooking Class",#7 of 450 Shopping in Athens,450,4.5,3.916013718,Parasailing & Paragliding,https://media-cdn.tripadvisor.com/media/photo-m/1280/1d/0b/59/b5/caption.jpg
993,https://www.tripadvisor.com/Attraction_Review-g189400-d14102495-Reviews-Pub_Crawl_Athens-Athens_Attica.html,http://pubcrawlathens.com,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",Athens Greece,"We are the #1 Nightlife Experiences provider in Athens, Greece! 

Since 2014, we've been offering Pub Crawls, Private Bar Crawls, University Student Pub Crawls, Bachelor & Bachelorette parties, Tailor Made activities & much more. If you want a unique experience for When in Athens, don't hesitate to join us!",Pub Crawl Athens,187,"The Original Athens Pub Crawl - Athens Drunk Tour, Premium Nightlife Experience by Athens Drunk Tour, Athens Speakeasy & Alternative Bar Crawl: Discover Hidden Gems, Athens New Year's Eve 2024 Pub Crawl - Athens NYE 24, nan",#11 of 266 Nightlife in Athens,266,4.5,3.84271121,"Bar, Club & Pub Tours",https://media-cdn.tripadvisor.com/media/photo-m/1280/28/64/5c/e8/the-original-pub-crawl.jpg
996,https://www.tripadvisor.com/Attraction_Review-g189400-d20035005-Reviews-E_G_Travel_in_Greece-Athens_Attica.html,http://www.egtravel.gr,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Pan.Giatrissas 66 Artemida, Athens 19016 Greece","E&G tours - is an expert professional private tour company that helps you to live the experience of a unique and at your request, custom-made and flexible tours and trips. You just have to take a sit in our luxury Mercedes and other vehicles covered by a fully comprehensive insurance policy and licensed by Greek National organization and enjoy your ride with expert drivers and escorts.At your request, we offer licensed guides with an exceptional knowledge of Greek culture, art and history sites.",E&G Travel in Greece,56,"Delphi Full Day 10 Hours Private Tour., Athens Full Day 8 Hours Private Tour., Athens By Night 4 Hours Private Tour., Athens Transfers, Corinth Half Day 5 Hours Private Tour.",#62 of 639 Transportation in Athens,639,5,3.781437397,Multi-day Tours,https://media-cdn.tripadvisor.com/media/photo-s/19/45/f5/fb/caption.jpg
1050,https://www.tripadvisor.com/Attraction_Review-g189400-d11800997-Reviews-WebTaxi_Athens-Athens_Attica.html,http://www.webtaxi.gr/,"airport, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",Athens 13123 Greece,"We undertake personal, business, as well as tourist offices’ transfers any day, any time. All our taxis are fully-equipped with clima and wi-fi and offer you a comfortable, safe and luxury transfer. And since your child’s safety is our priority, every car has child’s car safe seats ready to use.",WebTaxi Athens,48,"Mycenae, Epidaurus, Nafplio day private tour from Athens, Athens center Hotel to Piraeus cruise terminal, Piraeus port to Athens Airport, Athens Center to Costa Navarino, Athens Airport to Patra city center ",#76 of 639 Transportation in Athens,639,5,3.503310204,Cultural Tours,https://media-cdn.tripadvisor.com/media/photo-o/28/0e/f7/95/webtaxigr.jpg
1052,https://www.tripadvisor.com/Attraction_Review-g189400-d1078724-Reviews-Superb_Athens_Tours-Athens_Attica.html,http://www.athens-tours.gr,"driver chris, half day trip, greece, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",Athens 141 22 Greece,"What's that? You don't speak Greek? You don't like those tour buses that keep you on a rigid time schedule? You want something flexible with a more “personal” touch to it? If you want to see the places that all visitors should see when they come to Greece and also those little “out of the way” spots that the tourists would never find on their own or in the tour books, you have come to the right place. Whether you want a tour of Athens or venture out of the city, myself or one of my trusted, experienced associates can be your personal driver and guide for a time you will not soon forget.What a comfort it is to know that someone will be there waiting for you when you arrive at the airport. If you aren't sure about where to stay, I can help you with finding a hotel and, for sure, show you the places for the best Greek food. Enjoy riding in style and comfort in an air-conditioned Mercedes car.",Superb Athens-Tours,186,"nan, nan, nan, nan, nan","#166 of 1,148 Tours in Athens",1148,5,3.825870275,Private Tours,https://media-cdn.tripadvisor.com/media/photo-s/03/0c/44/13/jordan-diaglou-taxi-tours.jpg
1053,https://www.tripadvisor.com/Attraction_Review-g189400-d12928035-Reviews-Nikos_Free_Walking_Tour_in_Athens-Athens_Attica.html,https://www.facebook.com/Nikos-Free-Walking-Tour-in-Athens-228501734323874/,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Syntagma Square, Athens 105 63 Greece","Let’s discover Athens through ancient myths and stories, roam where great Athenian philosophers taught, admire some gems from the Byzantine period of the city and learn about the first years of the modern Greek State. Also, let’s get (happily) lost in the labyrinth of a 19th-century, picturesque neighbourhood of Athens, in the shade of the Acropolis! So, join Nikos and discover the best of Athens!",Nikos' Free Walking Tour in Athens,414,"nan, nan, nan, nan, nan","#75 of 1,148 Tours in Athens",1148,5,4.403141022,City Tours,https://media-cdn.tripadvisor.com/media/photo-o/10/cc/38/53/the-academy-of-athens.jpg
1054,https://www.tripadvisor.com/Attraction_Review-g189400-d10002022-Reviews-CityCab-Athens_Attica.html,http://www.citycab.gr,"athens airport, professional service, always on time, highly recommend this company, vangelis, driver, transfer, rafina, airbnb, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",Athens Greece,"At CityCab, we're all about making sure that every single one of our customers walks away satisfied. We want to be your first choice when it comes to sightseeing and private tours to and from Athens' ports, airport, and all the cities in between. Our tours are bespoke and tailor-made to the needs of the individual guests. We know the importance of arriving at your destination on time — this is especially relevant for transfer services. People rely on us for punctuality, safety and convenience — our passengers know we will get them where they need to be. This is why we have a long list of satisfied clients throughout Greece. If you have any questions or concerns regarding our services, please don't hesitate to give us a call or shoot us an e-mail. We'll be more than happy to answer all your questions!",CityCab,217,"Roundtrip Transfer from Athens Airport to Athens City, Athens City to Athens Airport Private Transfer, Piraeus Cruise Port to Athens Airport Private Transfer, Private Transfer from Athens Airport to Piraeus Port, Private Transfer from Athens Airport to Athens City ",#35 of 639 Transportation in Athens,639,5,4.375563145,Self-Guided Tours & Rentals,https://media-cdn.tripadvisor.com/media/photo-o/12/e0/47/7d/new-logo.jpg
1055,https://www.tripadvisor.com/Attraction_Review-g189400-d20083914-Reviews-MTM_DMC_Ltd_Greece-Athens_Attica.html,http://www.mtmdmc.net,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Alagianni 1 -Koropi 1st Floor, Athens 19441 Greece",30 Years of combined experience from the best professionals throughout Greece & Cyprus by providing services to more than 25 million customers all these years. 400 and more tours & activities @ your fingertips. Whatever you want to do — from snorkeling through colorful waters in Crete or Dinner under the Acropolis — you’ll find it here. Do not look any further! ,MTM DMC Ltd - Greece,550,"Gramvousa and Balos Day Cruise from Chania, 3 Island Cruise (Hydra-Poros-Aegina), Food Tour in Thessaloniki, Sunset Catamaran Cruise Tahiti , Island Hopping from Lefkada",#12 of 141 Classes & Workshops in Athens,141,4,3.608482599,Multi-day Tours,https://media-cdn.tripadvisor.com/media/photo-o/1a/dd/2d/d0/caption.jpg
1057,https://www.tripadvisor.com/Attraction_Review-g189400-d15238655-Reviews-Let_s_Book_Travel-Athens_Attica.html,https://www.letsbooktravel.eu,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Veikou 27 Koukaki, Athens 11742 Greece","Tour Operator & Travel Agency.
With experience of over 20 years in the tourism industry, we created Let’s Book Travel.
We come from Greece, the country where tourism and the idea of Xenios Zeus, the patron of hospitality was born. Greeks are known for their hospitality.

Therefore, true to those ideals we provide to our customers the best and most complete variety of tours and experiences.",Let's Book Travel,473,"Acropolis Museum Skip-the-Line Ticket, Acropolis and Slopes Skip-the-Line Ticket, Cruise to Kassiopi from Corfu, Half Day Athens Sightseeing Tour with Acropolis Museum, Santorini Volcano Half Day Tour","#182 of 1,148 Tours in Athens",1148,4,3.651203394,Multi-day Tours,https://media-cdn.tripadvisor.com/media/photo-m/1280/17/10/b0/1e/caption.jpg
1058,https://www.tripadvisor.com/Attraction_Review-g189400-d23757514-Reviews-Niki_Olympic_Tours-Athens_Attica.html,https://www.olympictours.gr,"recommended by rick steves, private tour, ancient olympia, custom tour, wonderful guide, athens highlights, professional guide, museum tour, excellent tour, acropolis hill, peloponnese, mystras, interests, knowledge, greece, driver, field, sites, history, myths, company, archaeology, nafplio, ruins, nan, nan, nan, nan, nan, nan","Stefanopoulou & Praxiteli Kondyli, Athens 27065 Greece","Niki OlympicTours is a DMC, highly recommended by many, including Trip Advisor and Rick Steves. We specialize in tailor made multiple day trips and shore excursions all around Greece.",Niki Olympic Tours,58,"nan, nan, nan, nan, nan","#148 of 1,148 Tours in Athens",1148,5,4.030487537,Multi-day Tours,https://media-cdn.tripadvisor.com/media/photo-m/1280/21/68/ff/fe/caption.jpg
1059,https://www.tripadvisor.com/Attraction_Review-g189400-d17604254-Reviews-Vip_Tours_Athens-Athens_Attica.html,http://www.viptoursathens.gr,"luxury van, day trip, chauffeur, vehicle, driver, company, george, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","50 Evlampias street, Athens 13123 Greece",We offer only the best! When you book one of our tours and transfers our priority is your comfort and satisfaction but in the same time we make sure that the level of our services offers you a unique and luxurious experience.,Vip Tours Athens,37,"Athens Greece Full Day private tour, Athens and Sounio private tour, Day drip to Delphi, Two day trip from Athens to Delphi and Meteora, Two days trip from Athens at Argolis and Ancient Olympia ",#13 of 141 Classes & Workshops in Athens,141,5,3.59053278,City Tours,https://media-cdn.tripadvisor.com/media/photo-m/1280/28/b3/ed/2a/caption.jpg
1061,https://www.tripadvisor.com/Attraction_Review-g189400-d21510202-Reviews-Book_Athens_Transfers-Athens_Attica.html,http://www.bookathenstransfers.com,"taxi service, parliament, vehicle, punctual, company, information, airport, driver, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Argostoliou 46-48, Athens 17342 Greece","Book Athens Transfers is a private transport company in Athens. We have been delivering premium transportation services for over twenty years providing the best to our customers from all over the world.
Book Athens Transfers works only with the most experienced highly-qualified chauffeurs, carefully hand-picked to ensure the comfort, safety and confidentiality of our clients.

",Book Athens Transfers,41,"Private Transport Athens Airport to Athens Centre Hotels Vice Versa, nan, nan, nan, nan",#66 of 639 Transportation in Athens,639,5,3.692135096,City Tours,https://media-cdn.tripadvisor.com/media/photo-o/27/e6/3a/c9/caption.jpg
1064,https://www.tripadvisor.com/Attraction_Review-g189400-d21227631-Reviews-Athens_cultural_tours_by_Eva_Vrontinaki_Athenes_Tours_culturels_avec_Eva_Vrontin.html,http://www.tourist-guides.gr/fr/guides-profiles/guideprofile.aspx?id=3000,"greek gods, acropolis tour, excellent tour, storyteller, weave, educated, knowledge, fun, information, history, greece, museum, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",Athens Greece,"My name is Eva Vrontinaki and I am a licensed tourist guide. My studies in Archeology, History of Art, foreign languages can help you to live a cultural experience in Athens. Let's plan together your cultural tailor-maide tour!
",Athens cultural tours by Eva Vrontinaki / Athenes - Tours culturels avec Eva Vrontinaki,65,"nan, nan, nan, nan, nan","#146 of 1,148 Tours in Athens",1148,5,4.075614452,City Tours,https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/a5/2c/36/caption.jpg
1066,https://www.tripadvisor.com/Attraction_Review-g189400-d4082971-Reviews-Deep_Blue_Chauffeur_Services-Athens_Attica.html,http://www.deepblue-chauffeurservices.com/,"greek history, driver, greece, knowledge, corinth, insight, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",Athens Greece,"Welcome to Deep Blue Chauffeur Services, an Athens based Company providing high-end transport services specializing in corporate and tailor made driving tours throughout Greece.",Deep Blue Chauffeur Services,269,"nan, nan, nan, nan, nan",#19 of 639 Transportation in Athens,639,5,4.406943798,Day Trips,https://media-cdn.tripadvisor.com/media/photo-o/0a/8a/77/1c/the-acropolis-of-athens.jpg
1067,https://www.tripadvisor.com/Attraction_Review-g189400-d25275450-Reviews-DR_Premium_Taxi-Athens_Attica.html,https://drpremiumtaxi.com/,"wonderful restaurant, day trip, mercedes, dimitri, poseidon, transfer, delphi, tours, temple, guide, greece, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",Athens Greece,"Discover the most important historic highlights and natural wonders of Greece, while unwinding at a luxury taxi that helps you make the most of your travel by providing transfer services from the airport or port, daily trips, and tailor-made private experiences. Dimitris Roussos, your trusted transportation provider in Athens, offers an easy and luxurious way to explore not only Athens but the countryside as well. All trips are in English and vary from half-day to multi-day (e.g., Athens half day trip, Athens-Sounio full day, Delphi-Thermopylae full day +, Delphi-Meteora two days and Peloponnese multiple days, to name just a few). During these trips, Dimitris acts not only as your driver who coordinates the perfect route for you thanks to his comprehensive local knowledge, but also as your advisor, thus offering you comfort, flexibility and uniqueness.",DR Premium Taxi,47,"nan, nan, nan, nan, nan",#56 of 639 Transportation in Athens,639,5,3.936103821,Day Trips,https://media-cdn.tripadvisor.com/media/photo-m/1280/27/fa/62/e9/discover-the-most-important.jpg
1068,https://www.tripadvisor.com/Attraction_Review-g189400-d12564841-Reviews-Traveling_Spoon-Athens_Attica.html,http://www.travelingspoon.com/available_hosts/greece/athens?utm_source=TripAdvisor,"cooking class, greece, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",Athens 16232 Greece,"Traveling Spoon provides travelers with private, authentic food experiences, from homemade meals to cooking classes and market tours, with local hosts in their homes.",Traveling Spoon,59,"Learn to Cook in a Local Home: A Taste of the Greek Islands in Athens, Learn the Art of Phyllo: Private Cooking Class in Athens, Private Greek Cooking Class and Foraging Experience in Syros, Learn to Cook with a Local Expert: A Private Greek Cooking Class in Athens, Learn to Cook Greek Mediterranean Cuisine in a Private Cooking Class",#14 of 141 Classes & Workshops in Athens,141,5,3.553945065,Food Tours,https://media-cdn.tripadvisor.com/media/photo-o/0f/bc/35/48/stuffed-peppers-in-athens.jpg
1069,https://www.tripadvisor.com/Attraction_Review-g189400-d11950666-Reviews-Urban_Free_Tours-Athens_Attica.html,http://www.urbanfreetours.com,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Mitropoleos 39, Mitropoleos Square, Athens 105 56 Greece","Never been in Athens and want to experience it all at once? Or maybe you have been to a few cities, but never been part of the local culture? If you're interested in exploration & like treasure hunting on foot, this is a perfect walking tour for you! We want to show you the Heart of Athens like never before that's why the sky's the limit in terms of creating your next walking tour itinerary.",Urban Free Tours,357,"nan, nan, nan, nan, nan","#73 of 1,148 Tours in Athens",1148,5,4.404705048,Historical & Heritage Tours,https://media-cdn.tripadvisor.com/media/photo-o/0e/2e/fd/e3/our-beautiful-athens.jpg
1070,https://www.tripadvisor.com/Attraction_Review-g189400-d11445455-Reviews-Roll_in_Athens-Athens_Attica.html,http://www.rollinathens.tours/,"bike tour, city highlights, demos, meze, ride, culture, photos, interests, acropolis, sites, insight, stories, greece, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","10 Voreou Th. Monastiraki, Athens 105 51 Greece","We are a micro tour provider offering bike and walking tours in Athens. Our people come from varied backgrounds, but we all have a passion for Athens ancient and modern, and are keen to share our love for the city and its contradictions with you. Our office is located just two blocks from Monastiraki Square, in the heart of the city. Please keep in mind that we don't keep regular office hours, as we're usually on our bikes. If you want to drop by, please contact us beforehand via email, pm or phone.",Roll in Athens,57,"nan, nan, nan, nan, nan",#45 of 382 Outdoor Activities in Athens,382,5,3.609158278,City Tours,https://media-cdn.tripadvisor.com/media/photo-o/0d/33/a3/93/city-highlights-bike.jpg
1071,https://www.tripadvisor.com/Attraction_Review-g189400-d13477233-Reviews-Hermes_Yachting-Athens_Attica.html,http://www.hermesyachting.com,"sailing boat, olympic marina, cycladic islands, great charter, sailing holiday, professional service, lavrio, skipper, andreas, dufour, handover, pappas, serifos, chartering, crew, oceanus, greece, bays, sails, vessel, companies, instructions, greek, george, nan, nan, nan, nan, nan, nan","Olympic Marine S.A., 77 km Olympic Marine Lavrio, Athens Greece","Founded in 2006 in Athens / Greece, Hermes Yachting has grown from a small family business to one of Greece’s leading fleet operators. - What is our mission? We want to further secure and expand this position by constantly being among the most profitable companies in the Charter industry. Above-average sales growth, steady increases in efficiency, and the continual optimisations of the product portfolio are key levers for achieving this goal. - What do we offer? For more than 17 years we offer high standards, quality, safety & professional customer service! Whoever you are, whatever you seek, we’ve got the perfect yacht for you. Our 20+ listings include sailing yachts, catamarans & motor yachts, located in 5 destinations. - What drives us forward? Our passion for yachts is what drives us and makes us unique. Our fleet and services are trusted by our clients – both locally and regionally. Our four Core Values: CARE, SIMLICITY, COURAGE & TRUST",Hermes Yachting,234,"nan, nan, nan, nan, nan",#27 of 191 Boat Tours & Water Sports in Athens,191,4.5,3.54346323,Multi-day Tours,https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/7f/6d/07/the-team.jpg
1072,https://www.tripadvisor.com/Attraction_Review-g189400-d24142767-Reviews-Greece_on_Board-Athens_Attica.html,http://greeceonboard.com/,"captain george, sailing experience, saronic gulf, these guys, underwater lights, dream vacation, fantastic boat, life changing experience, boats, catamaran, yacht, cyclades, crew, oreste, seas, skiing, freedom, safety, sailed, greece, cruise, company, nan, nan, nan, nan, nan, nan, nan, nan","47, Thoukididou Street, Athens 17455 Greece","Greece OnBoard offers private All-Inclusive sailing trips throughout the Greek islands aboard beautiful monohulled and catamaran yachts. Your Skipper & Hostess will guide you to visit Greek Islands, suggesting unique secluded beaches, historical sites, bars, and restaurants usually known only to locals and frequent visitors.",Greece on Board,53,"nan, nan, nan, nan, nan",#18 of 191 Boat Tours & Water Sports in Athens,191,5,3.94660449,Multi-day Tours,https://media-cdn.tripadvisor.com/media/photo-m/1280/24/58/45/85/caption.jpg
1073,https://www.tripadvisor.com/Attraction_Review-g189400-d1849037-Reviews-Context_Athens-Athens_Attica.html,http://www.contexttravel.com/cities/athens,"knowledgeable guides, acropolis tour, history come alive, walking tour, his knowledge, great tour, ancient agora, panos, tours, phd, greece, antiquities, ruins, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",Athens 0023 Greece,"Context Travel offers cultural and historical tours and activities led by deep subject-matter experts in over 50 cities around the world. With coverage of lesser known locales as well as main city sites, our experts take clients through in-depth, thematic topics to help them get to know the DNA of a place.",Context Athens,78,"nan, nan, nan, nan, nan","#193 of 1,148 Tours in Athens",1148,5,3.585431099,Multi-day Tours,https://media-cdn.tripadvisor.com/media/photo-s/01/9b/80/ef/context-s-acropolis-tour.jpg
